Category,dem_avg,rep_avg
Commision,-0.3872841328413284,0.48802654867256634
Courts,-0.3785843137254902,0.5121983471074381
Democratic,-0.3976578947368421,0.41388732394366196
Republican,-0.3802962962962963,0.5051873935264054
Split,-0.37707142857142856,0.44653658536585367
